index,image,x,y,z
0,000000_1773736671619937584.png,-1.4625342730030033,-0.5769504354755829,2.36295337708104
1,000001_1773736672123979264.png,-1.4671204730816532,-0.5747268795104366,2.3374417709872417
2,000002_1773736672526304711.png,-1.4752940175073541,-0.5684816326441471,2.283179899655414
3,000003_1773736672879494710.png,-1.4781693546836832,-0.5667714359487049,2.266304084051351
4,000004_1773736673325525603.png,-1.482311722422759,-0.5643607894742915,2.2446605566958207
5,000005_1773736673741414568.png,-1.50167492342587,-0.5506445288098473,2.1392063131152828
6,000006_1773736674121994820.png,-1.5133043794353689,-0.5447780125515025,2.0847765408077525
7,000007_1773736674523825541.png,-1.519757641483412,-0.5425912552996166,2.0631032271962555
8,000008_1773736674945853158.png,-1.5346317291733929,-0.5365515916861514,2.0121469628482997
9,000009_1773736675355510405.png,-1.5528173397036693,-0.5308414368305553,1.9637588052351231
10,000010_1773736675743362051.png,-1.5676064471006126,-0.5249351548316289,1.9219233046669473
11,000011_1773736676142770390.png,-1.60745689444737,-0.5163416166097634,1.8664436787180851
12,000012_1773736676548190132.png,-1.6221506514427666,-0.5127354014391643,1.8398904200459334
13,000013_1773736676953268875.png,-1.634568917086383,-0.5095038908474228,1.814687941647024
14,000014_1773736677458351744.png,-1.6984034707093834,-0.4879128463154354,1.660307584301949
15,000015_1773736677877614378.png,-1.7462525853035702,-0.4724692873092695,1.5493886553658276
16,000016_1773736678328471303.png,-1.84248224967814,-0.4544782478146866,1.44113938629094
17,000017_1773736678720134628.png,-1.9183314130261548,-0.43488831144428325,1.3122637246879665
18,000018_1773736679131286094.png,-1.9924995913582775,-0.417129979096277,1.2044714649181985
19,000019_1773736679539588475.png,-2.0598296549825794,-0.40503626563616213,1.1229589046836288
20,000020_1773736680091325513.png,-2.131154065854609,-0.3894966518717933,1.012693601616674
21,000021_1773736680487873232.png,-2.1568104469971203,-0.37668601421409886,0.9199971671413858
22,000022_1773736680874372256.png,-2.1828779229709308,-0.3677985843159298,0.8451071301821964
23,000023_1773736681255185865.png,-2.190423718082318,-0.3547578971217571,0.7434752017818739
