region_id,label,start_index,end_index,frame_count,start_image,end_image,boundary_reason,representatives
visual_region_01,会议室内侧走廊前半段,0,70,71,000000_1773736671619937584.png,000070_1773736700742994103.png,sequence start,000000_1773736671619937584.png;000014_1773736677458351744.png;000028_1773736683566407383.png;000042_1773736689286678216.png;000056_1773736695055890014.png;000070_1773736700742994103.png
visual_region_02,会议室大屏幕处走廊,71,106,36,000071_1773736701163348202.png,000106_1773736715118810147.png,visual change score=2.7242,000071_1773736701163348202.png;000078_1773736704030193588.png;000085_1773736706815678076.png;000092_1773736709522512429.png;000099_1773736712214848376.png;000106_1773736715118810147.png
visual_region_03,会议室外侧走廊,107,159,53,000107_1773736715508006185.png,000159_1773736736738145573.png,visual change score=3.0311,000107_1773736715508006185.png;000117_1773736719654356821.png;000128_1773736724079131958.png;000138_1773736728148724368.png;000149_1773736732574889867.png;000159_1773736736738145573.png
visual_region_04,会议室杂物区,160,198,39,000160_1773736737124423668.png,000198_1773736752711785232.png,visual change score=3.2032,000160_1773736737124423668.png;000168_1773736740369311864.png;000175_1773736743176133489.png;000183_1773736746508574810.png;000190_1773736749522601084.png;000198_1773736752711785232.png
visual_region_05,会议室内侧走廊后半段,199,235,37,000199_1773736753102657951.png,000235_1773736767833959339.png,visual change score=3.1227,000199_1773736753102657951.png;000206_1773736755903165398.png;000213_1773736758902503825.png;000221_1773736762192612568.png;000228_1773736765070798048.png;000235_1773736767833959339.png
